miRanda;target scan;ARL6IP6
GMEB2;ASB14;SLC41A2
ZNF529;TMEM70;MACROD2
GRM5;LAYN;GPCPD1
CHN1;NCALD;LIMCH1
VSIG2;KSR1;C3orf56
SPOCK3;EPN2;ZNF175
ITGB1;EED;EED
FRMD7;KLHL20;LOC283663
SPSB4;PIP4K2A;CTTNBP2NL
RBM46;DESI2;GIGYF1
SFRS2IP;LIN28A;TMEM26
DMD;SPAST;CD274
TBC1D23;ZNRF1;STYX
TNXB;NEDD4;HNRNPA3
SCML1;STIM2;PPFIBP2
TOMM40;TNRC6A;AFF3
LCP1;COL25A1;LOC100129940
FN3K;LIN28B;KCTD5
STYX;MTDH;HNRNPA3P1
CCNC;GAN;GNAI2
TSEN2;PLAGL2;RPA1
PTPN20B;NFIB;QRFPR
LRRC17;GMNC;RHOB
SLC35C2;MIER3;CRMP1
ZMYND8;PPARGC1B;NEDD4
DIRAS1;STOX2;HECTD2
JPH4;PEX5L;OR1J2
EBPL;CELSR3;LIMS1
HNRNPK;TAOK1;SLC30A8
EXOC6;KCNJ6;DNM3
UBE2CBP;CHD7;ASB3
DSN1;PDE7A;ZCCHC14
RNF32;DCUN1D3;SERPINE1
NDUFS5;BNC2;LOC100302652
OR12D3;TLL2;SNX2
C20orf72;PAWR;C15orf29
EIF4G2;JOSD1;LOC158381
ANKHD1;DGKH;ZEB2
YWHAZ;KLHL28;ORC2L
ETNK1;BRWD3;C20orf112
TRIM10;SH3PXD2A;TRIM32
MEOX2;ITPK1;TLL2
KIAA0528;RGS17;TMEM170B
MBD2;BRWD1;GRHL2
C10orf79;POLR3E;ZNF197
TBC1D8B;CYYR1;TIFA
LRRC38;COQ3;PTPDC1
TCF7L2;RP11-497E19.2;RBM5
ENTPD1;MICAL1;LDHA
ME1;GPR150;URM1
PTPN2;HIRIP3;FAM40A
SPG20;EVA1C;SNAI1
TFAP2A;RAVER2;NOX1
SPSB1;SPIN1;TXNDC12
SLITRK6;CTHRC1;HLA-L
PFKFB4;RPP14;ZCCHC24
LARP4;POLR1D;DCUN1D3
NTNG1;PRRX1;CDC14A
HLX;C9orf170;DHX36
RNFT1;LETMD1;GCLC
NTM;PRDM5;VAMP3
BAZ2B;C3orf58;IER2
DIXDC1;SUV39H2;SUDS3
STIM2;SLC18A2;INPP4A
VPS33A;HCAR2;PUM1
C1orf131;LIMCH1;WDR82
KIAA1949;ATXN3;PLDN
NUCB2;GATA5;MED29
ATG4A;RECK;ABCE1
VIT;ZBTB44;STK17B
C3orf67;DRD1;PAPD5
ALS2CR8;PITPNB;HECW2
MBNL3;IL2RA;SEMA3A
FAM83F;INPP4A;NUDT7
NEUROD4;ZNF197;GADL1
PPIP5K2;RAD9B;C2orf86
TCP11L1;ELK3;RPL37
RPUSD4;ROR2;MAGI3
TM4SF20;P2RY2;CLCC1
CDCA7;TICAM2;CHMP2B
PTCH1;CCSER1;SLC26A11
