miranda;targetscan;ABCG1
a;a;a
VSIG2;GNRHR;ANK2
ZNF451;ATXN2;ANK3
GFOD2;MANEAL;ANKFY1
UMODL1;KIAA1429;ANKRD12
SCML1;BCL2L14;APPBP2
SNX20;FADS3;Arabidopsis
FGD2;VASH1;ARIH2
NEU4;SLIT2;ARNT
STYX;TFRC;ARRDC3
LRRC17;SRP14;ASXL1
ZNF595;ZNF367;BACH2
SLC7A2;MAP3K7;BAZ2B
HNRNPK;FLJ20373;BCL2L2
TLE3;JMJD8;BCL6
C20orf72;TRIM39;BDNF
YWHAZ;RP6-24A23.6;BICD2
SERTAD1;EIF3J;BTBD11
HOXB3;ITSN1;BTBD14B
NHP2L1;LIN7C;BTRC
SPG20;FZD2;CAMK2G
TFAP2A;HOXA1;CECR6
RNFT1;B4GALT5;CNNM4
LOC221122;PRR15L;CRK
CHP;PEA15;CSMD1
PRKAG2;SKIL;CTDSPL
ITGB2;PDE12;CTNNBIP1
MMAA;SLC38A2;DAZAP1
ANKRD1;BEND3;DKFZp761H039
G6PC;LANCL1;DLGAP2
TM4SF20;RBM27;Drosophila
MS4A10;FXR2;E2F3
SPAG9;CLASP2;EBF2
EIF2A;SNX12;ELAVL3
LRRFIP1;TBC1D22B;ELOVL6
PPP3R1;KLHDC10;EPHA4
ARNT;SON;ESRRG
ANKDD1A;ATF2;FHL3
BCKDK;TSPAN9;FLJ13576
TMEM132B;ALPL;FLJ20225
KCNK9;TPP2;FLJ36031
NPAS3;USP25;FLJ39441
PLAC8;ITPRIP;GALNT1
ABRA;CAMK2G;GATA6
PLP1;PAPOLA;GPR3
CD55;USP12;GRIN3A
EPHA5;POLR3H;GTF2H1
C3orf18;KCNH5;HAS3
BRIP1;RBMS3;HIVEP2
C16orf57;STARD13;HNRPK
SRGN;CCDC88A;HOXA1
GRAMD1B;EPHA4;HOXA3
UBAP1;STK35;HOXD10
GPCPD1;CEP350;HS6ST2
BDH1;SLC35G1;ID4
ZCCHC7;KIF13B;IGSF4
HOXD10;CELF6;IL1RAPL1
PTPN12;CNTNAP5;KIAA0261
NFIB;TRPC1;KIAA1434
PCDHB16;AKAP2;KL
MPI;CHD6;KLC2
GAB3;ATXN7;KLF13
NCRNA00171;PALM2-AKAP2;KLF4
FAM111A;PIAS1;LPHN1
SLC47A1;LUZP1;MAMDC1
DDX3X;HDAC4;MAPRE1
SSPN;KLHL15;MLR2
RAB2B;CTDSPL;MTMR3
WWC2;NONO;NCOA6
ABL1;SERPINE1;NCOR2
SLC25A33;ARNT;NFASC
BDNFOS;ELAVL3;NFAT5
C17orf69;KAT6B;NR5A2
ARHGAP12;TMEM260;NRP2
FBXO28;AFF4;PAFAH1B1
RFPL2;SLC25A1;POMT2
NET1;ZDHHC21;PUM2
FLJ10661;SESN3;PURB
Sep-03;IRS1;RAP2A
TSPAN31;ZNF202;RB1CC1
TTC23;AHSA2;RYBP
ZC3H12C;ZDHHC18;SCARB2
CIITA;CSMD1;SCN3A
ASB16;ZC2HC1C;SDC1
FAM179A;CREB1;SFRS1
MACROD2;KPNA5;SFRS10
BDNF;NR6A1;SHC1
FLJ40194;FIGN;SLC1A2
LOC284551;RORA;SLC38A2
ERAP2;PPARGC1B;SLC41A2
ARHGAP6;GATA6;SMAP1
TMEM206;EPHA8;SNX4
FNDC3B;BCL2L11;SON
CEP63;HCN1;TBDN100
MET;BDNF;TBX5
FCRL1;HOXA3;TFAP2C
C5orf45;KCTD16;TIEG2
AVPR1A;TMEM132B;TMOD1
DEDD;LHFPL4;TRIM2
WDR76;SOBP;TRIM39
PDSS2;RORB;USF2
RNF38;NCOR2;USP46
E2F5;GABRB2;XRN1
TXLNB;WNT9B;ZFP36L1
SPIN1;AGO3;ZMYND11
ERBB2IP;KLF11;
FAM196A;XRN1;
Sep-02;MAPKBP1;
C10orf79;ITGB8;
CNN1;TFAP2C;
COPS7B;CSRNP3;
TRMT2B;MDGA2;
ALCAM;ESRRG;
GOPC;PDE7A;
TMEM63C;HOXB3;
MAP2;DLGAP2;
CHL1;NR2C2;
PLA1A;MTF1;
SON;EBF2;
